iter	Passed	Remaining
0	2	1258
1	2	854
2	4	982
3	6	1037
4	8	1064
5	9	947
6	12	1083
7	15	1164
8	17	1172
9	18	1083
10	20	1089
11	22	1097
12	24	1102
13	30	1280
14	68	2655
15	70	2568
16	108	3716
17	112	3633
18	113	3481
19	114	3313
20	115	3190
21	116	3059
22	118	2962
23	118	2851
24	120	2768
25	120	2668
26	121	2578
27	123	2521
28	125	2468
29	127	2425
30	129	2375
31	130	2309
32	131	2251
33	132	2206
34	134	2165
35	136	2131
36	137	2094
37	139	2057
38	141	2042
39	144	2020
40	144	1976
41	146	1945
42	148	1921
43	150	1900
44	151	1863
45	152	1837
46	154	1812
47	157	1809
48	158	1787
49	159	1758
50	161	1737
51	162	1712
52	164	1692
53	165	1673
54	166	1645
55	167	1629
56	169	1615
57	171	1598
58	172	1581
59	174	1574
60	177	1564
61	177	1542
62	179	1527
63	180	1513
64	182	1501
65	183	1483
66	184	1470
67	187	1463
68	188	1450
69	189	1434
70	190	1417
71	191	1401
72	192	1390
73	194	1383
74	195	1368
75	197	1359
76	198	1349
77	200	1344
78	203	1339
79	204	1330
80	205	1317
81	206	1301
82	206	1287
83	208	1281
84	210	1274
85	211	1267
86	213	1260
87	215	1252
88	215	1237
89	217	1230
90	218	1224
91	219	1212
92	220	1200
93	220	1188
94	222	1182
95	223	1175
96	225	1170
97	227	1164
98	228	1157
99	230	1151
100	232	1146
101	233	1140
102	234	1131
103	236	1125
104	237	1117
105	237	1106
106	238	1098
107	239	1088
108	240	1083
109	242	1078
110	243	1072
111	244	1064
112	246	1061
113	247	1056
114	249	1051
115	250	1046
116	252	1042
117	254	1037
118	255	1032
119	257	1028
120	258	1024
121	260	1020
122	261	1015
123	263	1011
124	265	1008
125	267	1004
126	267	997
127	269	992
128	270	986
129	271	981
130	273	977
131	273	969
132	274	965
133	276	961
134	276	953
135	278	951
136	280	948
137	281	943
138	283	940
139	285	937
140	286	933
141	288	929
142	289	925
143	290	918
144	292	916
145	293	913
146	294	907
147	296	905
148	298	902
149	299	897
150	300	892
151	301	888
152	303	885
153	304	882
154	305	876
155	306	873
156	308	869
157	309	866
158	311	864
159	313	861
160	314	858
161	315	852
162	317	850
163	318	847
164	320	844
165	321	841
166	323	838
167	323	832
168	325	830
169	326	825
170	328	822
171	329	820
172	331	817
